,CUSTOMER_ID,RECENCY,FIRST_PURCHASE,FREQUENCY,MONETARY
164,Cust164,244,258,2,200
165,Cust165,276,598,12,25.83333333
166,Cust166,56,611,12,203.3333333
167,Cust167,49,119,33,10.60606061
168,Cust168,1,118,69,12.02898551
169,Cust169,12,599,47,302.1276596
170,Cust170,10,621,79,27.34177215
171,Cust171,2,612,88,37.04545455
172,Cust172,28,107,12,12.5
173,Cust173,593,593,2,200
174,Cust174,5,119,12,15.83333333
175,Cust175,106,106,1,20
176,Cust176,30,424,12,39.16666667
177,Cust177,431,592,2,10
178,Cust178,118,118,1,10
179,Cust179,53,118,24,11.66666667
180,Cust180,550,581,6,11.66666667
181,Cust181,424,424,1,10
182,Cust182,36,488,47,17.44680851
183,Cust183,7,7,1,10
184,Cust184,308,626,18,15.55555556
